"","pred.xg"
1,0.534768998622894
2,0.48994505405426
3,0.110699556767941
4,0.537879765033722
5,0.571315705776215
6,0.216787591576576
7,0.367904841899872
8,0.20464526116848
9,0.0304722860455513
10,0.858673930168152
11,0.0985932871699333
12,0.122038640081882
13,0.0940477102994919
14,0.350806266069412
15,0.476098835468292
16,0.209035083651543
17,0.278106987476349
18,0.114439308643341
19,0.690488994121552
20,0.563608705997467
21,0.0966296792030334
22,0.132954016327858
23,0.0384828969836235
24,0.919706881046295
25,0.546728491783142
26,0.134434327483177
27,0.565435886383057
28,0.0938592031598091
29,0.414058238267899
30,0.281349569559097
31,0.434807181358337
32,0.0793699845671654
33,0.144118145108223
34,0.460916936397552
35,0.840700268745422
36,0.318796277046204
37,0.256195873022079
38,0.16339348256588
39,0.094112291932106
40,0.43796169757843
41,0.975737869739532
42,0.770126104354858
43,0.505923271179199
44,0.088605634868145
45,0.435288399457932
46,0.0515660494565964
47,0.054881826043129
48,0.188940897583961
49,0.205223470926285
50,0.308246672153473
51,0.207581341266632
52,0.258845865726471
53,0.0630251839756966
54,0.418472170829773
55,0.154851481318474
56,0.571498453617096
57,0.0680493265390396
58,0.643635988235474
59,0.524491488933563
60,0.562724232673645
61,0.218438178300858
62,0.0952101647853851
63,0.170173361897469
64,0.0487693399190903
65,0.134747937321663
66,0.19130340218544
67,0.138433754444122
68,0.818520903587341
69,0.0728508532047272
70,0.887618482112885
71,0.161221966147423
72,0.469350844621658
73,0.0903562158346176
74,0.660172820091248
75,0.153131440281868
76,0.370331883430481
77,0.472199022769928
78,0.286258548498154
79,0.280594885349274
80,0.166641339659691
81,0.194000333547592
82,0.15421362221241
83,0.268746227025986
84,0.0935239121317863
85,0.234140321612358
86,0.138618290424347
87,0.551185607910156
88,0.131016865372658
89,0.260585129261017
90,0.229564875364304
91,0.436248391866684
92,0.121229074895382
93,0.112674050033092
94,0.142783284187317
95,0.0606530494987965
96,0.783476829528809
97,0.326383054256439
98,0.519725441932678
99,0.0800460204482079
100,0.0867849364876747
101,0.470177710056305
102,0.496810406446457
103,0.0422507524490356
104,0.454240769147873
105,0.388801246881485
106,0.211299061775208
107,0.838834702968597
108,0.186880677938461
109,0.0666355937719345
110,0.175696551799774
111,0.179775953292847
112,0.193101122975349
113,0.191803738474846
114,0.931323349475861
115,0.581460773944855
116,0.126030325889587
117,0.0170033276081085
118,0.47716411948204
119,0.136011809110641
120,0.0652566850185394
121,0.122492156922817
122,0.507236003875732
123,0.173893585801125
124,0.961090445518494
125,0.0940962508320808
126,0.150281652808189
127,0.0695022344589233
128,0.0998698249459267
129,0.044587854295969
130,0.491668850183487
131,0.290468335151672
132,0.514024972915649
133,0.0627505406737328
134,0.321600556373596
135,0.542085409164429
136,0.0858557522296906
137,0.73950469493866
138,0.396662384271622
139,0.0715074464678764
140,0.125909209251404
141,0.0541201233863831
142,0.137101113796234
143,0.0564364604651928
144,0.15431047976017
145,0.840530693531036
146,0.10188739746809
147,0.0561811253428459
148,0.535105288028717
149,0.0569094009697437
150,0.449114352464676
151,0.0525399595499039
152,0.12137920409441
153,0.108240775763988
154,0.125520646572113
155,0.100986406207085
156,0.193548694252968
157,0.519097924232483
158,0.0486486367881298
159,0.451377540826797
160,0.20045080780983
161,0.050019271671772
162,0.0784599035978317
163,0.155414551496506
164,0.412051618099213
165,0.0845681056380272
166,0.265356987714767
167,0.955902993679047
168,0.17942401766777
169,0.697365999221802
170,0.106758549809456
171,0.0516577139496803
172,0.172215193510056
173,0.14168918132782
174,0.400011211633682
175,0.129286900162697
176,0.728551268577576
177,0.171606346964836
178,0.553075194358826
179,0.136303514242172
180,0.105045907199383
181,0.324786186218262
182,0.0801964700222015
183,0.210133090615273
184,0.16581092774868
185,0.742117464542389
186,0.134823113679886
187,0.083099365234375
188,0.327089071273804
189,0.522007584571838
190,0.156951487064362
191,0.132444858551025
192,0.360158652067184
193,0.144728034734726
194,0.365284740924835
195,0.118787072598934
196,0.316480159759521
197,0.0885371714830399
198,0.094363197684288
199,0.0726997852325439
200,0.066736988723278
201,0.523175537586212
202,0.194867089390755
203,0.866862654685974
204,0.340914130210876
205,0.176533252000809
206,0.102860160171986
207,0.198262989521027
208,0.0399157255887985
209,0.438440293073654
210,0.0658280104398727
211,0.781073331832886
212,0.258185505867004
213,0.126777321100235
214,0.0687995254993439
215,0.159918785095215
216,0.445668041706085
217,0.131611779332161
218,0.562177896499634
219,0.171591714024544
220,0.045466635376215
221,0.152636185288429
222,0.122834414243698
223,0.136414811015129
224,0.0909058749675751
225,0.144498825073242
226,0.557051718235016
227,0.0970797166228294
228,0.552111506462097
229,0.482752025127411
230,0.856387794017792
231,0.771219432353973
232,0.119185671210289
233,0.119875125586987
234,0.158574730157852
235,0.0316834822297096
236,0.679574489593506
237,0.293519914150238
238,0.0546982698142529
239,0.151785552501678
240,0.165089339017868
241,0.390774965286255
242,0.11579292267561
243,0.0740239694714546
244,0.266994684934616
245,0.534768998622894
246,0.141181290149689
247,0.367897003889084
248,0.0598073378205299
249,0.184440031647682
250,0.816804945468903
251,0.229579523205757
252,0.828277170658112
253,0.0309521611779928
254,0.611622035503387
255,0.0310237221419811
256,0.0733983144164085
257,0.260383576154709
258,0.752356827259064
259,0.403753101825714
260,0.658472120761871
261,0.101424530148506
262,0.173345610499382
263,0.0722922012209892
264,0.463886022567749
265,0.479172259569168
266,0.134619697928429
267,0.549955427646637
268,0.383123934268951
269,0.763481080532074
270,0.0648712068796158
271,0.312994301319122
272,0.395728319883347
273,0.103232331573963
274,0.155292972922325
275,0.0884695053100586
276,0.226769119501114
277,0.0924170166254044
278,0.0755167007446289
279,0.507922053337097
280,0.311932295560837
281,0.945452332496643
282,0.474572390317917
283,0.452626675367355
284,0.154554128646851
285,0.0947490409016609
286,0.0813241004943848
287,0.10960265994072
288,0.349950820207596
289,0.465980231761932
290,0.59497082233429
291,0.882008731365204
292,0.0649440363049507
293,0.267260670661926
294,0.138545900583267
295,0.0379223227500916
296,0.201355442404747
297,0.119716227054596
298,0.275546818971634
299,0.030647398903966
300,0.0553218498826027
301,0.65111380815506
302,0.0765146762132645
303,0.141100540757179
304,0.113668598234653
305,0.877581655979156
306,0.273844212293625
307,0.054394718259573
308,0.858673930168152
309,0.782531797885895
310,0.105850018560886
311,0.925843417644501
312,0.189261808991432
313,0.842482030391693
314,0.331057846546173
315,0.391661733388901
316,0.55520623922348
317,0.848733961582184
318,0.0613825842738152
319,0.11682853102684
320,0.507459998130798
321,0.671781480312347
322,0.114708036184311
323,0.092373788356781
324,0.0635837316513062
325,0.561498045921326
326,0.0971440002322197
327,0.156457841396332
328,0.0637976080179214
329,0.186727538704872
330,0.0853941366076469
331,0.124032095074654
332,0.159547001123428
333,0.0721389129757881
334,0.263014763593674
335,0.261976361274719
336,0.388189345598221
337,0.134155482053757
338,0.712606251239777
339,0.417899370193481
340,0.0751493349671364
341,0.0428286269307137
342,0.16636748611927
343,0.171823665499687
344,0.356188327074051
345,0.187963038682938
346,0.167973846197128
347,0.931655943393707
348,0.809120893478394
349,0.186185121536255
350,0.0723753795027733
351,0.462615162134171
352,0.41890886425972
353,0.0329143293201923
354,0.625308632850647
355,0.105780184268951
356,0.0580581985414028
357,0.958842933177948
358,0.0427968613803387
359,0.253229349851608
360,0.752477169036865
361,0.176280945539474
362,0.0805963352322578
363,0.0549763962626457
364,0.134020581841469
365,0.8174187541008
366,0.563396096229553
367,0.295498907566071
368,0.534195721149445
369,0.102012850344181
370,0.831132113933563
371,0.106441512703896
372,0.61000794172287
373,0.128176361322403
374,0.0900992676615715
375,0.105804219841957
376,0.056933332234621
377,0.222070768475533
378,0.0904295742511749
379,0.116319634020329
380,0.130662441253662
381,0.0535161308944225
382,0.160290479660034
383,0.357700437307358
384,0.504473745822906
385,0.0744360461831093
386,0.0453772060573101
387,0.042868472635746
388,0.121714472770691
389,0.193811506032944
390,0.160228937864304
391,0.0440040752291679
392,0.0884867981076241
393,0.14642208814621
394,0.536867201328278
395,0.0712178498506546
396,0.0466842912137508
397,0.322754710912704
398,0.659056961536407
399,0.0592700317502022
400,0.235263630747795
401,0.0931410044431686
402,0.0638710409402847
403,0.218337297439575
404,0.0307614281773567
405,0.97168904542923
406,0.962130069732666
407,0.233943536877632
408,0.685513734817505
409,0.168541774153709
410,0.162367612123489
411,0.230680257081985
412,0.269182115793228
413,0.57704371213913
414,0.112006768584251
415,0.083925224840641
416,0.632310807704926
417,0.617278516292572
418,0.392669945955276
419,0.0863029062747955
420,0.211726650595665
421,0.0858642905950546
422,0.0853698179125786
423,0.273200869560242
424,0.0506308786571026
425,0.0546763092279434
426,0.108766824007034
427,0.285258740186691
428,0.176715493202209
429,0.556338906288147
430,0.113526359200478
431,0.797158420085907
432,0.052752498537302
433,0.103984899818897
434,0.183703243732452
435,0.244318202137947
436,0.316715568304062
437,0.408864676952362
438,0.485929787158966
439,0.0934723019599915
440,0.300712555646896
441,0.122333161532879
442,0.284174293279648
443,0.324219167232513
444,0.0889517217874527
445,0.487920314073563
446,0.903691709041595
447,0.10100119560957
448,0.512335240840912
449,0.412322819232941
450,0.0546625703573227
451,0.346676081418991
452,0.0443103313446045
453,0.551566541194916
454,0.095571294426918
455,0.470447152853012
456,0.223285302519798
457,0.405399143695831
458,0.0791178420186043
459,0.480637341737747
460,0.0770814940333366
461,0.148268386721611
462,0.408868908882141
463,0.0978595763444901
464,0.478804111480713
465,0.387602269649506
466,0.0619621090590954
467,0.135597497224808
468,0.116892643272877
469,0.0588006302714348
470,0.794085025787354
471,0.0523805469274521
472,0.110902555286884
473,0.730404078960419
474,0.367431402206421
475,0.2395189255476
476,0.0878699421882629
477,0.0664901956915855
478,0.160749271512032
479,0.241777986288071
480,0.114065922796726
481,0.476565986871719
482,0.0460808202624321
483,0.302478134632111
484,0.416070461273193
485,0.0405116751790047
486,0.805516242980957
487,0.378681153059006
488,0.407602876424789
489,0.663782775402069
490,0.399973094463348
491,0.107905119657516
492,0.283815950155258
493,0.869374811649323
494,0.0722197741270065
495,0.877525269985199
496,0.195462763309479
497,0.17805078625679
498,0.0876156836748123
499,0.6039719581604
500,0.155107378959656
501,0.111176684498787
502,0.0894225686788559
503,0.263878047466278
504,0.220577359199524
505,0.061678372323513
506,0.769361853599548
507,0.367841899394989
508,0.0456704869866371
509,0.0469194464385509
510,0.0994324162602425
511,0.141315490007401
512,0.828749895095825
513,0.391780525445938
514,0.208087995648384
515,0.143743589520454
516,0.877079725265503
